PROCEDIMENTO,RN(alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,nan,REF,nan,135.0,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MÉDICA,nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM PSICÓLOGO,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,103.0,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DOESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,"CONSULTAS, VISITAS HOSPITALARES OUACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO,546/2022,03/10/2022,nan,nan,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR EDO DOADOR,546/2022,03/10/2022,nan,nan,HCO,HSO,REF,PAC,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DODOADOR,nan,nan,nan,nan,HCO,HSO,REF,PAC,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
"AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICOIMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OUMONITOR DE EVENTOS)",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
"FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA EUROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO -PROUT)",nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
PROFILAXIA: POLIMENTO CORONÁRIO,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,64.0,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO),536/2022,06/05/2022,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,152.0,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS ATRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,PAC,54.0,AVALIAÇÕES/ACOMPANHAMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CARDIOTOCOGRAFIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO,nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,56.0,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃORESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO,581/2023,12/072023,nan,Seg. Ambulatorial,nan,nan,REF,nan,162.0,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,67.0,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
BIOFEEDBACK COM EMG,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
EXERCÍCIOS DE ORTÓPTICA,nan,nan,nan,Seg. Ambulatorial,nan,nan,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REABILITAÇÃO LABIRÍNTICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OUREUMÁTICOS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICASESPECÍFICAS),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
ACTINOTERAPIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,79.0,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
APLICAÇÃO DE HIPOSSENSIBILIZANTE,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,80.0,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
APLICAÇÃO TÓPICA DE FLÚOR,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO,nan,nan,Seg. Odontológica,nan,nan,nan,nan,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
BETATERAPIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,PAC,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CATETERISMO VESICAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CERUMEN - REMOÇÃO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CRIOTERAPIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
CURATIVOS EM GERAL COM OU SEM ANESTESIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAISE HOSPITALARES
